Date,City,Venue,Bands,Notes

2011-06-04,"Nuremberg, Germany",Nurburgring,"System of a Down, Beatsteaks, Volbeat, Avenged Sevenfold, In Extremo, 3 Doors Down, Simple Plan, Millencolin, €And You Will Know Us By The Trail Of Dead, Dredg, Funeral For A Friend, Mastodon, Frank Turner + more",Rock Im Park Festival

2011-06-05,"Nurburgring, Germany",Zeppelinfeld,"System of a Down, Beatsteaks, Volbeat, Avenged Sevenfold, In Extremo, 3 Doors Down, Simple Plan, Millencolin, €And You Will Know Us By The Trail Of Dead, Dredg, Funeral For A Friend, Mastodon, Frank Turner + more",Rock Am Ring Festival

2011-06-06,"Lille, France",Le Splendid,"Bring Me The Horizon, Architects",

2011-06-07,"Leipzig, Germany",Anker,Lament,

2011-06-09,"Interlaken, Switzerland",Greenfield,"Foo Fighters, System of a Down, The Gaslight Anthem, Flogging Molly, Anti Flag, After The Burial + more",Greenfield Festival

2011-06-10,"Munster, Germany",Skaters Palace,,Vainstream Rockfest Warm Up Show

2011-06-11,"Nickelsdorf, Austria",Pannonia Fields,"Linkin Park, 30 Seconds To Mars, Wolfmother, Dredg, Plain White T's, The Sisters of Mercy, The Darkness, In Extremo, Sick of it All + more",Nova Rock Festival

2011-06-12,"Derby, England",Donington Park,"Linkin Park, Bullet For My Valentine, Disturbed, The Gaslight Anthem, The Pretty Reckless, Bowling For Soup, Madina Lake, Rob Zombie, The Cult, Black Veil Brides, Buck Cherry, Gwar, Frank Turner, Plain White T's + more",Download Festival

2011-06-22,"Barrie, ON",The Mansion,"Abandon All Ships, Burst & Bloom, The Vegas Wake Up, Tonight Tonight",

2011-06-23,"Cambridge, ON",515 Concert Hall,,

2011-06-24,"Tilsonburg, ON",Norma Jean's,,

2011-06-25,"Jackson, MI",Jackson County Fairgrounds,"Chiodos, Burst & Bloom, Forever The Sickest Kids, Hawthorne Heights, Memphis Mayfire, Sleeping With Sirens + more",

2011-06-26,"St. Catharines, ON",Market Square,"Abandon All Ships, A Sight For Sewn Eyes, Black Lungs, Brendan Rivera, Burst & Bloom, Cancer Bats, Counterparts, Dead & Divine, Liferuiner, Saint Alvia, Shai Halud, The Artist Life, The Flatliners, The Wooden Sky + more",S.C.E.N.E. Fest - Main Stage

2011-07-06,"Toronto, ON",Sneaky Dee's,Burst & Bloom,Secret Show

2011-07-11,"Taipei, Taiwan",Gong Liao Beach,"Sodagreen, Good 4 Nothing, Van She, Eloise, Van Coke Kartel, Kyte",Hohaiyan Rock Festival

2011-07-12,Singapore,Fort Canning,,

2011-07-13,"Surabaya, Indonesia",Jatim Expo International,"Rocket Rockers, Zombies Daylight",

2011-07-15,"Bangkok, Thailand",The Rock Pub,,

2011-08-13,"Birch Run, MI",Expo Centre,"Alien Ant Farm, All That Remains, Danko Jones, Hawthorne Heights + more",Dirt Fest

2011-08-19,"Anchorage, AK",Club Millenium,,

2011-08-20,"Anchorage, AK",Chilkoot Charlie's,,

2011-08-30,"Toronto, ON",Sneaky Dee's,"I Am Committing A Sin, Teenage Kicks, Lost Cities",Secret show as Suburban Clones

2011-09-23,"Philadelphia, PA",Theatre of Living Arts,,

2011-09-24,"Danbury, CT",Tuxedo Junction,"Conditions, Brendan Rivera",

2011-09-25,"Poughkeepsie, NY",The Chance,"Our Last Night, Conditions, Lions Lions, Brendan Rivera",

2011-10-07,"St. John's, NL",Headquarters,,

2011-10-08,"St. John's, NL",Headquarters,,

2011-12-01,"Burlington, ON",Performing Arts Centre,"Jian Gomeshi, The Burlington Teen Tour Band, Robert Stephen, Idle Sons, Gordie Tapp",

2011-12-02,"Cambridge, ON",515 Concert Hall,"Something You Whisper, The Outnumbered",

2011-12-03,"Windsor, ON",Blind Dog,"Falling With Glory, The Tragedy Of Mariam, Horizons",

2011-12-04,"London, ON",Rum Runners,"Searching For Satellites, Dancing With Paris, Horizons",

2011-12-09,"Rio De Janeiro, Brazil",Planet Music,,

2011-12-10,"Sao Paulo, Brazil",Inferno,,

2011-12-11,"Campenias, Brazil",Tribal Club,,

2011-12-12,"Buenos Aires, Argentina",Asbury Club,,

2011-12-14,"Santiago, Chile",334,,

2012-01-13,"Sayerville, NJ",Starland Ballroom,"August Burns Red, Texas In July, Letlive",

2012-01-14,"Baltimore, MD",Sonar,"August Burns Red, Attack Attack!, For Today, Texas In July, Letlive, Like Moths To Flames, Memphis May Fire, Stick To Your Guns, On Broken Wings + more",Ice Jam

2012-01-15,"Charlotte, NC",Amos Southend,"August Burns Red, Texas In July, Letlive",

2012-01-17,"Charleston, SC",The Music Farm,"August Burns Red, Texas In July, Letlive",

2012-01-18,"Nashville, TN",Rocketown,"August Burns Red, Texas In July, Letlive",

2012-01-19,"Atlanta, GA",The Masquerade,"August Burns Red, Texas In July, Letlive",

2012-01-20,"Orlando, FL",House of Blues,"August Burns Red, Texas In July, Letlive",

2012-01-21,"Ft. Lauderdale, FL",Revolution,"August Burns Red, Texas In July, Letlive",

2012-01-22,"Tampa, FL",Ritz Ybor,"August Burns Red, Texas In July, Letlive",

2012-01-23,"Jacksonville, FL",Freebird Live,"August Burns Red, Texas In July, Letlive",

2012-01-25,"Houston, TX",House of Blues,"August Burns Red, Texas In July, Letlive",

2012-01-26,"Oklahoma City, OK",Diamond Ballroom,"August Burns Red, Texas In July, Letlive",

2012-01-27,"Dallas, TX",House of Blues,"August Burns Red, Texas In July, Letlive",

2012-01-28,"Austin, TX",Emo's East,"August Burns Red, Texas In July, Letlive",

2012-01-29,"San Antonio, TX",The White Rabbit,"August Burns Red, Texas In July, Letlive",

2012-01-31,"Tucson, AZ",Rialto Theatre,"August Burns Red, Texas In July, I The Breather",

2012-02-01,"Las Vegas, NV",House of Blues,"August Burns Red, Texas In July, I The Breather",

2012-02-02,"Anaheim, CA",House of Blues,"August Burns Red, Texas In July, I The Breather",

2012-02-03,"San Diego, CA",House of Blues,"August Burns Red, Texas In July, I The Breather",

2012-02-04,"Los Angeles, CA",House of Blues,"August Burns Red, Texas In July, I The Breather",

2012-02-05,"San Francisco, CA",Regency Grand Ballroom,"August Burns Red, Texas In July, I The Breather",

2012-02-07,"Denver, CO",Summit Music Hall,"August Burns Red, Texas In July, I The Breather",

2012-02-08,"Salt Lake City, UT",The Complex,"August Burns Red, Texas In July, I The Breather",

2012-02-09,"Boise, ID",Knitting Factory,"August Burns Red, Texas In July, I The Breather",

2012-02-10,"Portland, OR",Hawthorne Theatre,"August Burns Red, Texas In July, I The Breather",

2012-02-11,"Seattle, WA",El Corazon,"August Burns Red, Texas In July, I The Breather",

2012-02-13,"Calgary, AB",MacEwan Ballroom,"August Burns Red, Texas In July, I The Breather",

2012-02-14,"Edmonton, AB",Edmonton Events Centre,"August Burns Red, Texas In July, I The Breather",

2012-02-15,"Saskatoon, SK",Louis Pub,"August Burns Red, Texas In July, I The Breather",

2012-02-16,"Winnipeg, MB",Garrick Theatre,"August Burns Red, Texas In July, I The Breather",

2012-02-17,"Minneapolis, MN",Cabooze,"August Burns Red, Texas In July, I The Breather",

2012-02-18,"Chicago, IL",House of Blues,"August Burns Red, Texas In July, I The Breather",

2012-02-19,"Chicago, IL",Bottom Lounge,"August Burns Red, Texas In July, I The Breather",

2012-02-21,"Cincinnati, OH",Bogart’s,"August Burns Red, Texas In July, I The Breather",

2012-02-22,"Cleveland, OH",House of Blues,"August Burns Red, Texas In July, I The Breather",

2012-02-23,"Detroit, MI",Saint Andrew's Hall,"August Burns Red, Texas In July, I The Breather",

2012-02-24,"Guelph, ON",Guelph Concert Theatre,"August Burns Red, Texas In July, I The Breather",

2012-02-25,"Toronto, ON",Sound Academy,"August Burns Red, Texas In July, I The Breather",

2012-02-26,"Montreal, QC",Metropolis,"August Burns Red, Texas In July, I The Breather",

2012-02-27,"Clifton Park, NY",Northern Lights,"August Burns Red, Texas In July, I The Breather",

2012-02-29,"Boston, MA",House of Blues,"August Burns Red, Texas In July, I The Breather",

2012-03-01,"New York, NY",Irving Plaza,"August Burns Red, Texas In July, I The Breather",

2012-03-02,"Allentown, PA",Crocodile Rock,"August Burns Red, Texas In July, I The Breather",

2012-03-03,"Philadelphia, PA",Theatre of Living Arts,"August Burns Red, Texas In July, I The Breather",

2012-03-24,"St. Petersburg, Russia",Zal Ozhidaniva,Top Display!,

2012-03-25,"Moscow, Russia",Plan B,Dance Party. Dance! Dance!,

2012-03-26,"Helsinki, Finland",Nosturi,New Deadline,

2012-03-28,"Stockholm, Sweden",Klubben,We Are The Ocean,

2012-03-29,"Oslo, Norway",John Dee,We Are The Ocean,

2012-03-30,"Gothenburg, Sweden",Brewhouse,We Are The Ocean,

2012-03-31,"Malmo, Sweden",KB,We Are The Ocean,

2012-04-01,"Copenhagen, Denmark",Vega,We Are The Ocean,

2012-04-03,"Hamburg, Germany",Grunspan,We Are The Ocean,

2012-04-04,"Berlin, Germany",Lido,We Are The Ocean,

2012-04-05,"Warsaw, Poland",Radio Luxembourg,"We Are The Ocean, Setting The Woods On Fire",

2012-04-06,"Prague, Czech Republic",Palac Akropolis,We Are The Ocean,

2012-04-07,"Bratislava, Slovakia",Randal Club,We Are The Ocean,

2012-04-08,"Budapest, Hungary",Durer Kert,"We Are The Ocean, Our Youth",

2012-04-10,"Vienna, Austria",Flex,We Are The Ocean,

2012-04-11,"Salzburg, Austria",Rockhouse,We Are The Ocean,

2012-04-12,"Rome, Italy",Traffic Club,We Are The Ocean,

2012-04-13,"Milan, Italy",Land of Live,We Are The Ocean,

2012-04-14,"Cesena, Italy",Vidia Club,"We Are The Ocean, Several Union",

2012-04-15,"Zurich, Switzerland",Abart,We Are The Ocean,

2012-04-16,"Munich, Germany",Ampere,We Are The Ocean,

2012-04-18,Luxembourg,Kulturfabrik,We Are The Ocean,

2012-04-19,"Frankfurt, Germany",Sankt Peter,We Are The Ocean,

2012-04-20,"Cologne, Germany",Gloria,We Are The Ocean,

2012-04-21,"Bochum, Germany",Zeche,We Are The Ocean,

2012-04-22,"Amsterdam, Netherlands",Melkweg,We Are The Ocean,

2012-04-24,"Antwerp, Belgium",Trix,"We Are The Ocean, Closure In Moscow, The Elijah",

2012-04-25,"Paris, France",Boule Noire,We Are The Ocean,

2012-04-26,"Madrid, Spain",Sala Caracol,Puk2,

2012-04-27,"Barcelona, Spain",Razzmatazz 3,Puk2,

2012-04-29,"Stuttgart, Germany",LKA Longhorn,"Parkway Drive, Gallows, Dillinger Escape Plan, For Today, An Act of Grace, Betraying the Martyrs, Born from Pain, Heights, Silent Screams + more",Pirate Satellite Festival

2012-06-04,"Wellington, New Zealand",Medusa,"Aftermath, Of Blackest Oceans, Sail At Sunset, 'Til Death Do Us Party",

2012-06-05,"Auckland, New Zealand",Zeal West Wave Centre,"As Colour Fades, Fire For Glory, 'Til Death Do Us Party",

2012-06-07,"Perth, Australia",Villa Nightclub,"Avastera, The Calling Of Levi",

2012-06-08,"Adelaide, Australia",Fowlers Live,"Dead Joe, My Catalyst, Skyway",

2012-06-09,"Melbourne, Australia",Royal Melbourne Hotel,"Like Royalty, Skyway",

2012-06-10,"Frankston, Australia",Pelly Bar,"Brighter at Night, Skyway, Summerset Avenue, While The City Sleeps",

2012-06-13,"Canberra, Australia",Bar 32,"Skyway, The London Town Fire",

2012-06-14,"Sydney, Australia",Spectrum,"Divide And Conquer, Skyway",

2012-06-15,"Bateau Bay, Australia",Entrance Leagues,"Lycanthrope, None But The Brave, Skyway, We Built Atlantis",

2012-06-16,"Brisbane, Australia",The Zoo,"Milestones, Skyway, The Dream, The Chase",

2012-06-23,"Hamilton, ON",Club Absinthe,"Saint Alvia, Organ Thieves, Pink Wine, Rifkin, A Sin For A Prayer, Mercy",Open To The Core Festival

2012-07-07,"Makasar, Indonesia",Liquid Cafe,,

2012-07-08,"Jakarta, Indonesia",Parkir Timur Senayan,"Dream On, Dreamer, As Blood Runs Black",JakCloth Festival

2012-07-09,"Bandung, Indonesia",Roger's Cafe,,Peter Says Denim Private Event

2012-07-11,"Manila, Philippines",Area 05 Superclub,,

2012-07-13,Hong Kong,Hidden Agenda,,

2012-07-14,"Tokyo, Japan",Antiknock,Crossfaith,

2012-07-15,"Nagoya, Japan",Rad,Crossfaith,

2012-07-16,"Osaka, Japan",Rockets,Crossfaith,

2012-07-18,"Tokyo, Japan",O-East Shibuya,"Crossfaith, Coldrain, Hawthorne Heights, Lost, New Breed, Rottengraffty, SFPR, Uzumaki + more","No Blur Circuit Festival, Neil's Last Show"

2012-08-16,"Pittsburgh, PA",Mr. Small's,"Such Gold, Lions Lions, Daytrader",Short Tour - Paul Marc's First Show

2012-08-17,"Detroit, MI",The Shelter,"Such Gold, Lions Lions, Daytrader",Short Tour 

2012-08-18,"Chicago, IL",Bottom Lounge,"Such Gold, Lions Lions, Daytrader",Short Tour 

2012-08-19,"Cleveland, OH",Grog Shop,"Such Gold, Lions Lions, Daytrader, Call It Fiction",Short Tour 

2012-08-21,"Buffalo, NY",Mohawk,"Such Gold, Lions Lions, Daytrader",Short Tour 

2012-08-22,"New York, NY",Webster Studio,"Such Gold, Lions Lions, Daytrader, Bad Case of Big Mouth",Short Tour 

2012-08-23,"Philadelphia, PA",First Unitarian Church,"Such Gold, Lions Lions, Daytrader",Short Tour 

2012-08-24,"Worcester, MA",The Palladium,"Such Gold, Lions Lions, Daytrader, State Champs",Short Tour 

2012-08-25,"Montreal, QC",Corona Theatre,"Such Gold, Lions Lions, Daytrader",Short Tour 

2012-08-26,"Toronto, ON",Annex Wreckroom,"Grade, Such Gold, Lions Lions, Daytrader",Short Tour 

2012-09-13,"Toronto, ON",Sneaky Dee's,"Gob, Bathurst",Sneaky Dee's 25th Anniversary

2012-09-14,"Kitchener, ON",Downtown Kitchener,"Set Your Goals, Gob, Abandon All Ships, John K Samson, USS, We Came As Romans, Counterparts, Stray From The Path + more",KOI Music Festival

2012-12-07,"Burlington, ON",The Dickens,"The Penske File, Aerith, Careers In Science, Castor Troys",Burly Calling

2013-01-25,"Pontiac, MI",The Crofoot,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-01-26,"Chicago, IL",Bottom Lounge,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-01-27,"Minneapolis, MN",Mill City Nights,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-01-29,"Denver, CO",Summit Music Hall,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-01-30,"Salt Lake City, UT",In The Venue,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-01-31,"Reno, NV",Knitting Factory,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-01,"Sacramento, CA",Ace of Spades,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-02,"Santa Ana, CA",The Observatory,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-03,"San Diego, CA",SOMA,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-05,"Los Angeles, CA",The Roxy,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-06,"Las Vegas, NV",Hard Rock Cafe,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-07,"Mesa, AZ",The Nile,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-08,"Albuquerque, NM",Sunshine Theatre,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-09,"Lubbock, TX",Jake's Sports Cafe,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-10,"San Antonio, TX",The White Rabbit,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-12,"Dallas, TX",Tree's,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-13,"Houston, TX",Warehouse Live,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-15,"Ft. Lauderdale, FL",Culture Room,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-16,"Orlando, FL",The Social,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-17,"Atlanta, GA",The Masquerade,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-19,"Springfield, VA",Empire,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-20,"Baltimore, MD",Soundstage,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-21,"Asbury Park, NJ",Stone Pony,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-22,"Philadelphia, PA",Trocadero Theatre,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-23,"Clifton Park, NY",Upstate Concert Hall,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-24,"Cambridge, MA",The Sinclair,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-26,"New York, NY",Gramercy Theatre,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-27,"Cleveland, OH",Peabody's,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-02-28,"Rochester, NY",Water Street Music Hall,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-03-01,"Montreal, QC",La Tulipe,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-03-02,"Toronto, ON",The Opera House,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-03-02,"Hamilton, ON",Club Absinthe,"Like Moths To Flames, Secrets, Issues, Glass Cloud",

2013-04-01,"Kiev, Ukraine",Bingo,All is Illusion,

2013-04-02,"Minsk, Belarus",Re:Public,,

2013-04-03,"St. Petersburg, Russia",Zal Ojidaniya,"Rollercoaster, ________ _________ _____",

2013-04-04,"Moscow, Russia",Plan B,,

2013-04-07,"Zurich, Switzerland",Komplex,"Funeral for a Friend, The Tidal Sleep",

2013-04-08,"Vienna, Austria",Flex,"Funeral for a Friend, The Tidal Sleep",

2013-04-10,"Munich, Germany",Backstage Werk,"Funeral for a Friend, The Tidal Sleep",

2013-04-11,"Berlin, Germany",Postbahnhof,"Funeral for a Friend, The Tidal Sleep",

2013-04-12,"Hamburg, Germany",Markthalle,"Funeral for a Friend, The Tidal Sleep",

2013-04-13,"Cologne, Germany",Live Music Hall,"Funeral for a Friend, The Tidal Sleep",

2013-04-16,"Adelaide, Australia",Fowlers Live,"Sienna Skies, A Ghost Orchestra, Seconds Before Sunrise",

2013-04-18,"Melbourne, Australia",Corner Hotel,"Sienna Skies, Belle Haven, Who Invited The Wolf?",

2013-04-19,"Sydney, Australia",Manning Bar,"Sienna Skies, Caulfield, Ghost On Broadway",

2013-04-20,"Newcastle, Australia",The Cambridge Hotel,"Sienna Skies, Rivalries, Taken By Force, We The Betrayed",

2013-04-21,"Brisbane, Australia",The Hi-Fi,"Sienna Skies, Deadlights, Sunsets",

2013-04-22,"Perth, Australia",Amplifier Bar,"Sienna Skies, Make Believe Me, Still Water Claims",

2013-04-24,"Honolulu, HI",Hawaiian Brian's,"Lionskeep, Ignite The Red, Prevail, Crossroad Rebels & Phoenix Rose",

2013-05-13,"Nagoya, Japan",Electric Ladyland,"The Used, Crossfaith",AP Japan Tour

2013-05-14,"Osaka, Japan",Big Cat,"The Used, Crossfaith",AP Japan Tour

2013-05-16,"Tokyo, Japan",Shibuya AX,"The Used, Crossfaith",AP Japan Tour

2013-05-17,"Tokyo, Japan",Shinjuku Marz,"Ashley Scared The Sky, My Last December",

2013-06-04,"Ottawa, ON",Mavericks,"Of Reverie, Remember The Fire, Hemosphere, Neighbours",

2013-06-05,"Sudbury, ON",The Jubilee,"Tomorrow In Mind, Sunsetter",

2013-06-07,"Thunder Bay, ON",Crocks,"The Wonder Years, Boy Castle",

2013-06-08,"Winnipeg, MB",Pyramid Cabaret,"The Wonder Years, Clipwing, Torn Into",

2013-06-09,"Regina, SK",The Exchange,"The Wonder Years, Short Story, Something You Whisper, A Perfect Punchline",

2013-06-11,"Edmonton, AB",The Starlite,"The Wonder Years, The Red Threat, The Weekend Kids",

2013-06-12,"Calgary, AB",The Den,"The Wonder Years, Kingsland, Open Sails",

2013-06-14,"Langley, BC",Friends Langley Vineyard,"The Wonder Years, Sharks! On Fire!, On Call Heroes",

2013-06-15,"Seattle, WA",White River Amphitheatre,"August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-16,"Portland, OR",Portland Expo Center,"August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-19,"San Diego, CA",Cricket Wireless Amphitheatre,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-20,"Pomona, CA",Pomona Fairplex,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-21,"Pomona, CA",Pomona Fairplex,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-22,"Mountainview, CA",Shoreline Amphitheatre,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-23,"Ventura, CA",Seaside Park,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-26,"Las Cruces, NM",NMSU Practice Field,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-27,"Phoenix, AZ",Quail Run Park,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-28,"Las Vegas, NV",Luxor,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-29,"Salt Lake City, UT",Utah State Fair Park,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-06-30,"Denver, CO",Sports Authority Field,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-03,"Indianapolis, IN",Klipish Music Center,"Bring Me The Horizon, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-05,"Toronto, ON",Echo Beach,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-06,"Buffalo, NY",Darien Lake,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

2013-07-07,"Holmdel, NJ",PNC Bank Arts Center,"Bring Me The Horizon, The Used, August Burns Red, Motion City Soundtrack, Black Veil Brides, Sleeping With Sirens, The Wonder Years, The Story So Far, Chiodos, Memphis May Fire, Never Shout Never, The Chariot, Blessthefall, We Came As Romans, Reel Big Fish, The Chariot, Letlive, Architects, The Amity Affliction, Hawthorne Heights, Hands Like Houses, Tonight Alive, Stick To Your Guns + more",Vans Warped Tour

